projection_x_coordinate,projection_y_coordinate,hw_threshold
498000,1062000,25
510000,1062000,25
522000,1062000,25
534000,1062000,25
546000,1062000,100
558000,1062000,100
570000,1062000,100
582000,1062000,100
594000,1062000,100
606000,1062000,100
618000,1062000,100
630000,1062000,100
642000,1062000,100
654000,1062000,100
666000,1062000,100
678000,1062000,100
690000,1062000,100
702000,1062000,100
714000,1062000,100
726000,1062000,100
738000,1062000,100
750000,1062000,100
762000,1062000,100
-210000,1050000,100
-198000,1050000,100
-186000,1050000,100
-174000,1050000,100
-162000,1050000,100
-150000,1050000,100
-138000,1050000,100
-126000,1050000,100
-114000,1050000,100
-102000,1050000,100
-90000,1050000,100
-78000,1050000,100
-66000,1050000,100
-54000,1050000,100
-42000,1050000,100
-30000,1050000,100
-18000,1050000,100
-6000,1050000,100
6000,1050000,100
18000,1050000,100
30000,1050000,100
42000,1050000,100
54000,1050000,100
66000,1050000,25
78000,1050000,25
90000,1050000,25
102000,1050000,25
114000,1050000,25
126000,1050000,25
138000,1050000,25
150000,1050000,25
162000,1050000,25
174000,1050000,25
186000,1050000,25
198000,1050000,25
210000,1050000,25
222000,1050000,25
234000,1050000,25
246000,1050000,25
258000,1050000,25
270000,1050000,25
282000,1050000,25
294000,1050000,25
306000,1050000,25
318000,1050000,25
330000,1050000,25
342000,1050000,25
354000,1050000,25
366000,1050000,25
378000,1050000,25
390000,1050000,25
402000,1050000,25
414000,1050000,25
426000,1050000,25
438000,1050000,25
450000,1050000,25
462000,1050000,25
474000,1050000,25
486000,1050000,25
498000,1050000,25
510000,1050000,25
522000,1050000,25
534000,1050000,25
546000,1050000,100
558000,1050000,100
570000,1050000,100
582000,1050000,100
594000,1050000,100
606000,1050000,100
618000,1050000,100
630000,1050000,100
642000,1050000,100
654000,1050000,100
666000,1050000,100
678000,1050000,100
690000,1050000,100
702000,1050000,100
714000,1050000,100
726000,1050000,100
738000,1050000,100
750000,1050000,100
762000,1050000,100
-210000,1038000,100
-198000,1038000,100
-186000,1038000,100
-174000,1038000,100
-162000,1038000,100
-150000,1038000,100
-138000,1038000,100
-126000,1038000,100
-114000,1038000,100
-102000,1038000,100
-90000,1038000,100
-78000,1038000,100
-66000,1038000,100
-54000,1038000,100
-42000,1038000,100
-30000,1038000,100
-18000,1038000,100
-6000,1038000,100
6000,1038000,100
18000,1038000,100
30000,1038000,100
42000,1038000,100
54000,1038000,25
66000,1038000,25
78000,1038000,25
90000,1038000,25
102000,1038000,25
114000,1038000,25
126000,1038000,25
138000,1038000,25
150000,1038000,25
162000,1038000,25
174000,1038000,25
186000,1038000,25
198000,1038000,25
210000,1038000,25
222000,1038000,25
234000,1038000,25
246000,1038000,25
258000,1038000,25
270000,1038000,25
282000,1038000,25
294000,1038000,25
306000,1038000,25
318000,1038000,25
330000,1038000,25
342000,1038000,25
354000,1038000,25
366000,1038000,25
378000,1038000,25
390000,1038000,25
402000,1038000,25
414000,1038000,25
426000,1038000,25
438000,1038000,25
450000,1038000,25
462000,1038000,25
474000,1038000,25
486000,1038000,25
498000,1038000,25
510000,1038000,25
522000,1038000,25
534000,1038000,100
546000,1038000,100
558000,1038000,100
570000,1038000,100
582000,1038000,100
594000,1038000,100
606000,1038000,100
618000,1038000,100
630000,1038000,100
642000,1038000,100
654000,1038000,100
666000,1038000,100
678000,1038000,100
690000,1038000,100
702000,1038000,100
714000,1038000,100
726000,1038000,100
738000,1038000,100
750000,1038000,100
762000,1038000,100
-210000,1026000,100
-198000,1026000,100
-186000,1026000,100
-174000,1026000,100
-162000,1026000,100
-150000,1026000,100
-138000,1026000,100
-126000,1026000,100
-114000,1026000,100
-102000,1026000,100
-90000,1026000,100
-78000,1026000,100
-66000,1026000,100
-54000,1026000,100
-42000,1026000,100
-30000,1026000,100
-18000,1026000,100
-6000,1026000,100
6000,1026000,100
18000,1026000,100
30000,1026000,25
42000,1026000,25
54000,1026000,25
66000,1026000,25
78000,1026000,25
90000,1026000,25
102000,1026000,25
114000,1026000,25
126000,1026000,25
138000,1026000,25
150000,1026000,25
162000,1026000,25
174000,1026000,25
186000,1026000,25
198000,1026000,25
210000,1026000,25
222000,1026000,25
234000,1026000,25
246000,1026000,25
258000,1026000,25
270000,1026000,25
282000,1026000,25
294000,1026000,25
306000,1026000,25
318000,1026000,25
330000,1026000,25
342000,1026000,25
354000,1026000,25
366000,1026000,25
378000,1026000,25
390000,1026000,25
402000,1026000,25
414000,1026000,25
426000,1026000,25
438000,1026000,25
450000,1026000,25
462000,1026000,25
474000,1026000,25
486000,1026000,25
498000,1026000,25
510000,1026000,25
522000,1026000,100
534000,1026000,100
546000,1026000,100
558000,1026000,100
570000,1026000,100
582000,1026000,100
594000,1026000,100
606000,1026000,100
618000,1026000,100
630000,1026000,100
642000,1026000,100
654000,1026000,100
666000,1026000,100
678000,1026000,100
690000,1026000,100
702000,1026000,100
714000,1026000,100
726000,1026000,100
738000,1026000,100
750000,1026000,100
762000,1026000,100
-210000,1014000,100
-198000,1014000,100
-186000,1014000,100
-174000,1014000,100
-162000,1014000,100
-150000,1014000,100
-138000,1014000,100
-126000,1014000,100
-114000,1014000,100
-102000,1014000,100
-90000,1014000,100
-78000,1014000,100
-66000,1014000,100
-54000,1014000,100
-42000,1014000,100
-30000,1014000,100
-18000,1014000,100
-6000,1014000,100
6000,1014000,100
18000,1014000,25
30000,1014000,25
42000,1014000,25
54000,1014000,25
